target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
5.0,5.040504356924368,-0.335,0.666,0.5973681808431854,0.0686318191568146
5.0,5.040504356924368,-0.33,0.68,0.5949873026914493,0.08501269730855077
5.0,5.040504356924368,-0.325,0.659,0.5926064245397132,0.06639357546028679
5.0,5.040504356924368,-0.32,0.622,0.5902255463879771,0.03177445361202291
5.0,5.040504356924368,-0.315,0.662,0.5881943901369792,0.07380560986302087
5.0,5.040504356924368,-0.31,0.67,0.587131694534179,0.08286830546582102
5.0,5.040504356924368,-0.305,0.676,0.5860689989313789,0.08993100106862117
5.0,5.040504356924368,-0.3,0.652,0.5850063033285787,0.0669936966714213
5.0,5.040504356924368,-0.295,0.678,0.5842236573438663,0.09377634265613377
5.0,5.040504356924368,-0.29,0.638,0.5846856763284325,0.05331432367156752
5.0,5.040504356924368,-0.285,0.68,0.5851476953129986,0.09485230468700145
5.0,5.040504356924368,-0.28,0.647,0.5856097142975648,0.06139028570243521
5.0,5.040504356924368,-0.275,0.673,0.5860061833181385,0.08699381668186157
5.0,5.040504356924368,-0.27,0.641,0.5858258126555785,0.05517418734442148
5.0,5.040504356924368,-0.265,0.658,0.5856454419930186,0.07235455800698143
5.0,5.040504356924368,-0.26,0.659,0.5854650713304586,0.07353492866954148
5.0,5.040504356924368,-0.255,0.66,0.5852366152148616,0.07476338478513844
5.0,5.040504356924368,-0.25,0.671,0.5827000573534897,0.08829994264651031
5.0,5.040504356924368,-0.245,0.665,0.5801634994921179,0.08483650050788216
5.0,5.040504356924368,-0.24,0.639,0.577626941630746,0.061373058369254
5.0,5.040504356924368,-0.235,0.63,0.5750903837693742,0.054909616230625846
5.0,5.040504356924368,-0.23,0.65,0.5716798618754837,0.07832013812451633
5.0,5.040504356924368,-0.225,0.658,0.5682123423272984,0.08978765767270158
5.0,5.040504356924368,-0.22,0.635,0.5647448227791133,0.0702551772208867
5.0,5.040504356924368,-0.215,0.672,0.5612773032309282,0.11072269676907187
5.0,5.040504356924368,-0.21,0.65,0.5595015816195131,0.09049841838048689
5.0,5.040504356924368,-0.205,0.679,0.5580078263308932,0.12099217366910686
5.0,5.040504356924368,-0.2,0.653,0.5565140710422732,0.09648592895772679
5.0,5.040504356924368,-0.195,0.674,0.5550203157536533,0.11897968424634675
5.0,5.040504356924368,-0.19,0.653,0.5552138084629846,0.0977861915370154
5.0,5.040504356924368,-0.185,0.621,0.5558957150664596,0.06510428493354037
5.0,5.040504356924368,-0.18,0.625,0.5565776216699347,0.06842237833006526
5.0,5.040504356924368,-0.175,0.646,0.5572595282734097,0.08874047172659028
5.0,5.040504356924368,-0.17,0.642,0.5570541415429633,0.08494585845703673
5.0,5.040504356924368,-0.165,0.647,0.5564573018710808,0.09054269812891924
5.0,5.040504356924368,-0.16,0.634,0.5558604621991983,0.07813953780080174
5.0,5.040504356924368,-0.155,0.656,0.5552636225273158,0.10073637747268427
5.0,5.040504356924368,-0.15,0.674,0.5522504745690673,0.12174952543093276
5.0,5.040504356924368,-0.145,0.629,0.5477069980294536,0.08129300197054645
5.0,5.040504356924368,-0.14,0.644,0.5431635214898398,0.1008364785101602
5.0,5.040504356924368,-0.135,0.613,0.5386200449502262,0.0743799550497738
5.0,5.040504356924368,-0.13,0.612,0.5333728606267648,0.07862713937323518
5.0,5.040504356924368,-0.125,0.669,0.5275031655714383,0.14149683442856176
5.0,5.040504356924368,-0.12,0.632,0.5216334705161119,0.11036652948388814
