series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,25.0,,-0.465,0.602
current_echo_experiment,25.0,,-0.46,0.639
current_echo_experiment,25.0,,-0.455,0.6
current_echo_experiment,25.0,,-0.45,0.586
current_echo_experiment,25.0,,-0.445,0.59
current_echo_experiment,25.0,,-0.44,0.552
current_echo_experiment,25.0,,-0.435,0.57
current_echo_experiment,25.0,,-0.43,0.578
current_echo_experiment,25.0,,-0.425,0.55
current_echo_experiment,25.0,,-0.42,0.58
current_echo_experiment,25.0,,-0.415,0.541
current_echo_experiment,25.0,,-0.41,0.541
current_echo_experiment,25.0,,-0.405,0.558
current_echo_experiment,25.0,,-0.4,0.568
current_echo_experiment,25.0,,-0.395,0.569
current_echo_experiment,25.0,,-0.39,0.556
current_echo_experiment,25.0,,-0.385,0.572
current_echo_experiment,25.0,,-0.38,0.582
current_echo_experiment,25.0,,-0.375,0.594
current_echo_experiment,25.0,,-0.37,0.604
current_echo_experiment,25.0,,-0.365,0.615
current_echo_experiment,25.0,,-0.36,0.6
current_echo_experiment,25.0,,-0.355,0.613
current_echo_experiment,25.0,,-0.35,0.642
current_echo_experiment,25.0,,-0.345,0.624
current_echo_experiment,25.0,,-0.34,0.633
current_echo_experiment,25.0,,-0.335,0.589
current_echo_experiment,25.0,,-0.33,0.612
current_echo_experiment,25.0,,-0.325,0.589
current_echo_experiment,25.0,,-0.32,0.577
current_echo_experiment,25.0,,-0.315,0.558
current_echo_experiment,25.0,,-0.31,0.563
current_echo_experiment,25.0,,-0.305,0.578
current_echo_experiment,25.0,,-0.3,0.544
current_echo_experiment,25.0,,-0.295,0.588
current_echo_experiment,25.0,,-0.29,0.541
current_echo_experiment,25.0,,-0.285,0.549
current_echo_experiment,25.0,,-0.28,0.539
current_echo_experiment,25.0,,-0.275,0.541
current_echo_experiment,25.0,,-0.27,0.527
current_echo_experiment,25.0,,-0.265,0.504
current_echo_experiment,25.0,,-0.26,0.559
current_echo_experiment,25.0,,-0.255,0.548
current_echo_experiment,25.0,,-0.25,0.55
current_echo_experiment,25.0,,-0.245,0.556
current_echo_experiment,25.0,,-0.24,0.561
current_echo_experiment,25.0,,-0.235,0.55
current_echo_experiment,25.0,,-0.23,0.593
current_echo_experiment,25.0,,-0.225,0.591
current_echo_experiment,25.0,,-0.22,0.599
current_echo_experiment,25.0,,-0.215,0.604
current_echo_experiment,25.0,,-0.21,0.616
current_echo_experiment,25.0,,-0.205,0.598
current_echo_experiment,25.0,,-0.2,0.632
current_echo_experiment,25.0,,-0.195,0.615
current_echo_experiment,25.0,,-0.19,0.612
current_echo_experiment,25.0,,-0.185,0.582
current_echo_experiment,25.0,,-0.18,0.605
current_echo_experiment,25.0,,-0.175,0.648
current_echo_experiment,25.0,,-0.17,0.591
current_echo_experiment,25.0,,-0.165,0.563
current_echo_experiment,25.0,,-0.16,0.583
current_echo_experiment,25.0,,-0.155,0.53
current_echo_experiment,25.0,,-0.15,0.533
current_echo_experiment,25.0,,-0.145,0.518
current_echo_experiment,25.0,,-0.14,0.527
current_echo_experiment,25.0,,-0.135,0.538
